iter	Passed	Remaining
746	1002	339
747	1003	337
748	1004	336
749	1005	335
750	1006	333
751	1007	332
752	1008	330
753	1009	329
754	1010	327
755	1011	326
756	1012	325
757	1013	323
758	1014	322
759	1015	320
760	1016	319
761	1017	317
762	1019	316
763	1020	315
764	1021	313
765	1021	312
766	1023	310
767	1024	309
768	1025	308
769	1026	306
770	1027	305
771	1028	303
772	1029	302
773	1030	300
774	1031	299
775	1033	298
776	1034	296
777	1035	295
778	1036	294
779	1037	292
780	1039	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	276
792	1052	274
793	1052	273
794	1053	271
795	1054	270
796	1056	268
797	1056	267
798	1057	266
799	1064	266
800	1065	264
801	1066	263
802	1067	261
803	1068	260
804	1069	259
805	1070	257
806	1071	256
807	1072	254
808	1073	253
809	1074	252
810	1076	250
811	1077	249
812	1078	248
813	1092	249
814	1093	248
815	1093	246
816	1095	245
817	1095	243
818	1096	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1102	233
825	1103	232
826	1104	231
827	1105	229
828	1107	228
829	1108	227
830	1109	225
831	1110	224
832	1111	222
833	1112	221
834	1113	219
835	1114	218
836	1115	217
837	1116	215
838	1117	214
839	1117	212
840	1118	211
841	1119	210
842	1120	208
843	1121	207
844	1123	206
845	1124	204
846	1125	203
847	1126	201
848	1127	200
849	1128	199
850	1129	197
851	1130	196
852	1131	195
853	1132	193
854	1133	192
855	1134	190
856	1135	189
857	1137	188
858	1138	186
859	1139	185
860	1140	184
861	1141	182
862	1142	181
863	1143	180
864	1144	178
865	1146	177
866	1147	176
867	1149	174
868	1150	173
869	1152	172
870	1153	170
871	1154	169
872	1155	168
873	1156	166
874	1157	165
875	1158	163
876	1159	162
877	1160	161
878	1161	159
879	1162	158
880	1163	157
881	1164	155
882	1166	154
883	1167	153
884	1168	151
885	1169	150
886	1170	149
887	1171	147
888	1172	146
889	1173	145
890	1174	143
891	1175	142
892	1176	140
893	1177	139
894	1178	138
895	1179	136
896	1180	135
897	1181	134
898	1182	132
899	1183	131
900	1185	130
901	1186	128
902	1187	127
903	1188	126
904	1189	124
905	1190	123
906	1191	122
907	1192	120
908	1193	119
909	1194	118
910	1195	116
911	1196	115
912	1197	114
913	1198	112
914	1199	111
915	1200	110
916	1201	108
917	1202	107
918	1203	106
919	1204	104
920	1205	103
921	1206	102
922	1207	100
923	1208	99
924	1210	98
925	1211	96
926	1212	95
927	1213	94
928	1214	92
929	1215	91
930	1216	90
931	1217	88
932	1218	87
933	1219	86
934	1220	84
935	1221	83
936	1222	82
937	1224	80
938	1225	79
939	1226	78
940	1227	76
941	1229	75
942	1230	74
943	1231	73
944	1232	71
945	1233	70
946	1234	69
947	1236	67
948	1237	66
949	1238	65
950	1239	63
951	1241	62
952	1242	61
953	1243	59
954	1244	58
955	1245	57
956	1247	56
